account_rewards,date
-299.6961287994636,20210217
-1141.2526157266693,20210218
1684.1337745478377,20210219
-751.4204208792653,20210222
2294.4983375816373,20210223
-6403.951549408026,20210224
-5329.71235147852,20210225
7835.364518894232,20210226
-3457.1403923302423,20210301
-5051.0876293488545,20210302
-6410.601736778161,20210303
12025.736618041992,20210304
3615.6885127602145,20210305
2451.6891687393654,20210308
9243.627542263013,20210309
2999.7338089447003,20210310
2429.867999839713,20210311
6653.905996196903,20210312
-157.6488749543205,20210315
4771.321225231164,20210316
-6362.988650360261,20210317
-6383.1882837296,20210318
3059.940660129534,20210319
-12900.737365364097,20210322
1500.6234529189533,20210323
5943.22972973634,20210324
16296.580034553539,20210325
3377.1396525115706,20210326
-5222.602718894952,20210329
-3097.2715775450924,20210330
2800.133256080677,20210331
10487.904263862525,20210401
-6131.408070896054,20210405
-516.5186676369049,20210406
516.5749878120841,20210407
8061.889950466109,20210408
-2134.99997508619,20210409
-1373.4491745185805,20210412
2194.9387504387414,20210413
8421.112905994407,20210414
4258.008254734101,20210415
-2428.6937337189447,20210416
-1219.5731531868223,20210419
8270.499363597948,20210420
-10620.505900566117,20210421
5479.389436767553,20210422
-4650.192185405642,20210423
-1333.6800898284419,20210426
-16250.414880111697,20210427
2090.320879001636,20210428
-702.7960488204844,20210429
8918.749105728115,20210430
2341.5931234474992,20210503
3832.7315218924778,20210504
8085.640488075209,20210505
10126.637188022723,20210506
-2865.502401664853,20210507
-11849.148237411398,20210510
-16796.53970549011,20210511
11694.32886178221,20210512
10032.143376327585,20210513
1195.0344957045745,20210514
